coffee_name,roaster_name,roaster_location,coffee_origin,roast_level,agtron,est_price,review_date,overall_score,h1,s1,h2,s2,h3,s3,p1,p2,p3
Colombia Huila,White Coffee,"Long Island City, New York","Huila Department, Colombia",Medium,47/59,$8.49/12 oz.,November 2010,90,Review Date:,November 2010,Aroma:,8,Acidity:,8,"Blind Assessment: Orange, raisin, roasted nut, dark chocolate in aroma and cup. Dry, brisk acidity; medium body, silky mouthfeel. The raisiny dark chocolate carries into a rich finish.","Notes: Huila is probably the most admired of Colombia coffee growing regions; this coffee is from the Premaveral Cooperative. White Coffee is a distinguished third-generation, women-owned coffee roasting company founded in 1939. Visit www.whitecoffee.com or call 800-221-0140 for more information.","Who Should Drink It: Lovers of crisp, discreetly (and naturally) dark-chocolate-toned breakfast coffees."
Bluekoff Medium Roast,Bluekoff Company,"Bangkok, Thailand",Northern Thailand.,Light,59/85,NA,November 2010,90,Review Date:,November 2010,Aroma:,8,Acidity:,8,"Blind Assessment: Roundly balanced, subtly complex. Hints of raisin, table grape, milk chocolate, molasses in the aroma. Ripe citrus notes develop in the cup, complicated by continued molasses and grape-like fruit. Rich acidity; full, syrupy mouthfeel. Simple, sweet finish. ","Notes: Bluekoff is a Thai company that is involved in all aspects of coffee, from milling and roasting to sales of coffee and related equipment and training services.Visit www.bluekoff.com or call +66-81-751-1217 for more information.","Who Should Drink It: Balanced, quietly complete, comfortable cup."
Don Rey’s Natural Prep Bourbon,Las Chicas Del Café,"London, Ontario, Canada",Nicaragua.,Medium-Dark,32/50,CAD $15.00/16 oz.,November 2010,89,Review Date:,November 2010,Aroma:,8,Acidity:,7,"Blind Assessment: Deep-toned, rich coffee with distinct dark chocolate and raisiny aromatic wood notes in aroma, cup and finish. Roast-muted acidity, fullish mouthfeel, dark-chocolaty finish. The cup simplifies a bit as it cools.",Notes: This is a dried-in-the-fruit or “natural” coffee produced from trees of the heirloom Bourbon variety of Arabica. Las Chicas del Café is a Canadian-based roaster specializing in coffee from the family-owned farm AromaNica Coffees in Nicaragua.  Visit www.laschicasdelcafe.com or call 519-652-3642 for more information.,"Who Should Drink It: Those who drink their coffee hot and prefer pungent, dark chocolaty depth to citrusy brightness. "
La Pira Costa Rica Geisha Natural,The Roasterie,"Kansas City, Missouri",Costa Rica,Light,60/82,$11.99/12 oz.,November 2010,90,Review Date:,November 2010,Aroma:,8,Acidity:,8,"Blind Assessment: Pungent fresh-cut fir, roasted nut and a raisiny fruit dominate in aroma and flavor, with a surprising, sweet milk chocolate developing late in the mouth and carrying into the finish. Crisp acidity, smoothly delicate mouthfeel.","Notes: This is a dry-processed or ""natural"" coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with the wet-processed or ""washed"" coffees more typical of Costa Rica. The Roasterie is a longtime leading, quality-oriented specialty roaster that emphasizes its commitment to ""air roasting,"" a technology utilizing a column of hot air rather than the conventional turning drum to agitate the roasting beans.  Visit www.theroasterie.com or call 800-376-0245 for more information.","Who Should Drink It: A finely understated, silky light-roasted coffee with crisp nut and raisin character."
El Salvador Santa Rita Bourbon Natural,Barrington Coffee Roasting Co.,"Lee, Massachusetts","Ahuachapan Department, El Salvador.",Medium-Light,52/70,$14.95/16 oz.,November 2010,91,Review Date:,November 2010,Aroma:,8,Acidity:,8,"Blind Assessment: A ripe orange-toned citrus with a balancing pungent hint of fresh-cut fir runs through the profile from aroma through finish. The acidity is balanced, bright and sweet, the mouthfeel lightly syrupy. Rich and orangy in the finish. ","Notes: This is a dried-in-the-fruit or “natural” coffee produced from trees of the heirloom Bourbon variety of Arabica. Barrington Coffee is an artisan roaster dedicated to elite coffees, fresh delivery and roasting that foregrounds the coffee and not the roast. Visit www.barringtoncoffee.com or call 800-528-0998 for more information.","Who Should Drink It: Aficionados may take interest in this particular incarnation of the pungent-sweet Bourbon character; less scholarly black coffee drinkers may simply enjoy the balanced, ripe sweetness the cup."
Hawaii Ka’u Rusty’s Natural Yellow Caturra,Simon Hsieh's Aroma Roast Coffees,"Taoyuan City, Taiwan","Ka'u growing district, southwestern corner of the ""Big Island"" of Hawaii.",Medium,48/57,"NT$3,000/16 oz.",November 2010,92,Review Date:,November 2010,Aroma:,8,Acidity:,8,"Blind Assessment: Orange, bittersweet lemon, nut, aromatic wood in aroma and cup, with complicating floral top notes. Balanced, crisp acidity; silky mouthfeel. The citrus notes in particular carry into a rich, sweet finish. ","Notes: Ka'u is a newly emerging Hawaii coffee growing district centered thirty miles or so south of the famous Kona region. This is a dried-in-the-fruit or “natural” coffee produced on the farm of Lorie Obra in Ka'u from trees of the yellow caturra variety, a compact growing selection of Bourbon with yellow fruit. In addition to his retail roasting operation, Aroma Roast Coffees, Simon Hsieh also runs Soaring Phoenix Trading, a business focused on purposed-built commercial espresso blends and high quality single-origin coffees. Visit www.facebook.com/4ArtsZeroDefectCoffees or call 886-0983-749876 for more information.","Who Should Drink It: This crisp rather than lush version of the dried-in-the-fruit profile should please those who favor dry but delicate white table wines, for example. "
Ethiopia Sidamo Guji,Lexington Coffee Roasters,"Lexington, Virginia","Sidamo growing region, southern Ethiopia.",Medium,48/67,$14.95/16 oz.,November 2010,92,Review Date:,November 2010,Aroma:,9,Acidity:,8,"Blind Assessment: Pungent, intense aromatics: ripe citrus, dark chocolate, raisin. Softly rounded acidity, lightly syrupy mouthfeel. The pungent flavor plumps out in a flavor-saturated finish.","Notes: This is a dry-processed or ""natural"" coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or ""washed"" coffees. Founded in 1990, Lexington Coffee is an award winning artisan roasting company based in Virginia. Lexington’s focus on fresh, flavorful and sustainable coffee explains its motto, “Uncommon and Uncompromised.” Visit www.lexingtoncoffee.com or call 800-322-6505 for more information.",Who Should Drink It: Those who avoid aggressively acidy coffees yet still value intensity in flavor and aromatics.
FTO Ethiopian Gedeo Worka Natural,Klatch Coffee,"San Dimas, California",Southern Ethiopia,Medium-Light,53/76,$12.95/12 oz.,November 2010,92,Review Date:,November 2010,Aroma:,8,Acidity:,8,"Blind Assessment: Big, syrupy mouthfeel and a long, deeply resonant finish particularly distinguish this coffee, but the rich acidity is impressive too, as are the sweetly pungent aromatics: fir, dark chocolate, cherry, almond. ","Notes: This is a dry-processed or ""natural"" coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or ""washed"" coffees. It is also certified organically grown and Fair Trade certified, meaning it was purchased from small-holding farmers at a ""fair"" or economically sustainable price. Formerly Coffee Klatch, Klatch Coffee is an award-winning small-batch roasting company based in the Los Angeles area whose resident barista and trainer, Heather Perry, is a former United States Barista Champion. Visit www.klatchroasting.com or call 877-455-2824 for more information.","Who Should Drink It: Those who particularly value depth and richness in a coffee, not to mention impressive social and environmental credentials."
Organic Ethiopian Sidamo,The WestBean Coffee Roasters,"San Diego, California","Sidamo growing region, southern Ethiopia.",Medium-Light,52/70,$7.50/8 oz.,November 2010,92,Review Date:,November 2010,Aroma:,9,Acidity:,8,"Blind Assessment: Bright with bergamot and bittersweet lemon, crisp baker's chocolate and fresh-cut fir, this dried-in-the-fruit coffee cupped more like a fine Ethiopia washed coffee than a natural, though a rounding hint of cherry-blueberry sweetness complicated the profile and appeared to confirm its processing method. Delicate acidity; light, silky mouthfeel; long, lemon-and-cocoa-saturated finish.  ","Notes: This is a dry-processed or ""natural"" coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or ""washed"" coffees. It is also certified organically grown. Based in the heart of San Diego, The West Bean is a micro-roaster founded by three friends who are passionate about coffee. Visit www.thewestbean.com or call 619-709-3232 for more information.","Who Should Drink It: Those who favor a crisp, complexly high-toned Ethiopian style breakfast coffee."
Ethiopia Sidamo Natural,Te Aro Roasted,"Toronto, Ontario, Canada","Sidamo growing region, southern Ethiopia.",Medium-Light,54/76,CAD $17.00/16 oz.,November 2010,92,Review Date:,November 2010,Aroma:,9,Acidity:,8,"Blind Assessment: Rich, brandy-like notes dominate in this classic dried-in-the-fruit coffee, complicated and enriched by cherry, orange and floral nuance. The balanced, well-integrated acidity is perhaps more wine-like than brandy-like; the mouthfeel is big and syrupy. The brandy tendency turns slightly astringent in an otherwise fine, flavor-saturated finish.","Notes: This is a dry-processed or ""natural"" coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or ""washed"" coffees. With roots in New Zealand, Te Aro Roasted is a Toronto-based coffee company that emphasizes its ""fresh air roasting,” a technology that utilizes a column of hot air rather than the conventional turning drum to agitate the roasting beans.  Visit www.te-aro.ca or call 416-465-2006 for more information.","Who Should Drink It: Those who enjoy big, fruit-toned red table wines. "
Hawaii Kona Natural Maragogipe,Paradise Roasters,"Ramsey, Minnesota","Kona growing region, ""Big Island"" of Hawaii.",Medium,44/66,$34.95/10 oz.,November 2010,93,Review Date:,November 2010,Aroma:,9,Acidity:,8,"Blind Assessment: Dry berry or black currant, flowers, hints of lemon and aromatic wood in the aroma. All carry into a luxuriously sweet cup, with the lemon note dominating. Rich, complexly fruit-toned acidity, silky to lightly syrupy mouthfeel, clean, gently lemon-toned finish.","Notes: This coffee was dried in the fruit, an unusual procedure for any Kona coffee. It is doubly rare because it was produced from trees of the Maragogipe variety, a seldom-grown variety of Arabica that produces enormous beans. Paradoxically, these enormous beans tend to produce a cup rather delicate in sensory profile, as here. Paradise Roasters prides itself on roasting and shipping coffee only after orders are placed. Its metaphoric mission is to bring some paradisiacal warmth from the coffee-growing south to the cool environs of Minnesota. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",Who Should Drink It: Those in pursuit of an extremely rare coffee with great natural sweetness and delicate aromatic complexity.
Panama Elida Estate Natural,PT's Coffee Roasting Co.,"Topeka, Kansas","Boquete growing region, western Panama",Medium,46/64,$17.84/16 oz.,November 2010,93,Review Date:,November 2010,Aroma:,9,Acidity:,8,"Blind Assessment: Delicate but complexly opulent coffee: distinctly pineapple-like fruit, flowers, aromatic wood, hints of pipe tobacco and dark chocolate in both aroma and cup. Crisp, sweet-toned acidity, lean but silky mouthfeel, long, sweet, subtly flavor-saturated finish.","Notes: This coffee was dried in the fruit, an unusual procedure for a Panama coffee. From trees of the Typica and Catuai varieties of Arabica. Roasted at PT’s Coffee, where the motto is “without the love, it’s just coffee.”  Visit www.ptscoffee.com or call 888-678-5282 for more information.",Who Should Drink It: Those who enjoy a gentle yet subtly exotic cup.
Ethiopia Michicha Guji Sidama,Coffea Roasterie,"Sioux Falls, South Dakota","Sidamo growing region, southern Ethiopia.",Medium,50/65,$15.95/12 oz.,November 2010,93,Review Date:,November 2010,Aroma:,8,Acidity:,9,"Blind Assessment: Understated floral-toned aroma unfolds dramatically in the cup with a rich cherry- and wine-like fruit and deepened floral notes. The acidity is particularly impressive, alive with wine and citrus hints. Lightly syrupy mouthfeel. Flavor retains great presence and complexity in the long, resonant finish.","Notes: This is a dry-processed or ""natural"" coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or ""washed"" coffees. Coffea Roasterie is a South Dakota based wholesale and retail roaster, with a small but refined selection of mostly single-origin coffees. Visit www.coffearoasterie.com or call 605-362-9955 for more information.",Who Should Drink It: Those who enjoy fine red table wines that express restrained but complex fruit character.
Ka’u Coffee Natural Dried,Rusty's Hawaiian Coffee,"Pahala, Hawaii","Ka'u growing district, southwestern corner of the ""Big Island"" of Hawaii.",Medium,46/67,$27.00/8 oz.,November 2010,95,Review Date:,November 2010,Aroma:,8,Acidity:,10,"Blind Assessment: Complex and balanced flavor and aroma: orange-toned citrus, cherry, cedary aromatic wood, a hint of baking spice. The acidity is extraordinary: deep, powerful yet roundly rich and sweet. The mouthfeel is full and syrupy, the finish long and fruit-saturated.","Notes: Ka'u is a newly emerging Hawaii coffee growing district centered thirty miles or so south of the famous Kona region. This is a dried-in-the-fruit or “natural” coffee produced on the farm of Lorie Obra in Ka'u. Lorie meticulously picks, processes and roasts her coffees using traditional methods and artisan attention. Visit www.rustyshawaiian.com or call 808-928-8916 for more information.",Who Should Drink It: Anyone who is quick enough and flush enough to buy a few ounces. This is a coffee that demonstrates the potential both of dried-in-the-fruit coffees and Ka’u coffees.
Doi Chaang Wild Civet Spat Coffee,Doi Chaang Coffee,"Vancouver, British Columbia, Canada",Northern Thailand.,Medium,45/62,CAD $55.00/50 g.,November 2010,88,Review Date:,November 2010,Aroma:,8,Acidity:,7,"Blind Assessment: Dominated by a woody note, but an engaging, quietly spicy woody note reminiscent perhaps of sassafras tea, complicated by hints of dark chocolate and a banana-like low-acid fruit. Soft, round acidity, lightly syrupy mouthfeel. Rich in the short finish, fades a bit in the long.","Notes: Doi Chaang is a single-estate coffee produced by a northern Thailand hill tribe in the Golden Triangle mountains of Thailand and roasted in Alberta, Canada. The independent coffee growers receive over 50% of the profits of this unusual and pioneering venture. In addition to its excellent conventional arabica coffees, the cooperative members harvest small quantities of two versions of the famous (or infamous) kopi luwak, the world’s most expensive coffee, the beans of which are “processed” by a species of wild civet that eats ripe coffee fruit. The version reviewed here is comprised of beans that the wild civets spit out after having eaten the fruit. Another version consists of beans that the civets have swallowed along with the fruit, and which are harvested from their feces. Visit www.doichaangcoffee.com or call 866-924-2264 for more information.",Who Should Drink It: Culinary adventurers who enjoy a quietly low-toned coffee with a distinctive (think herbal root beer) nuance.
Sumatra Aceh Organic,Fratello Coffee Roasters,"Calgary, Alberta, Canada","Aceh Province, northern Sumatra, Indonesia.",Medium-Dark,45/53,CAD $30.75/32 oz.,October 2010,88,Review Date:,October 2010,Aroma:,8,Acidity:,7,"Blind Assessment: Aromatic wood, nut, pipe tobacco in the aroma, softening and rounding toward dark chocolate in the cup. Assertive, ripe-tomato-toned acidity. Medium body, rich, rather sweet finish with a hint of astringency.",Notes: Certified organically grown. Calgary-based Fratello is a second-generation boutique coffee roaster owned by three brothers who focus on responsible trade relationships with coffee growers. Visit www.fratellocoffee.com or call 800-944-2545 for more information.,"Who Should Drink It: Those who enjoy the intense, rather quirky complexity of some traditional Sumatras."
Nicaragua La Union Medium Roast,Reunion Island Coffee,"Oakville, Ontario, Canada","Las Sabanas, Nicaragua",Medium,46/56,$11.95/12 oz.,October 2010,91,Review Date:,October 2010,Aroma:,9,Acidity:,7,"Blind Assessment: Delicately plush coffee. Very sweet-toned in aroma and cup, with a distinct pear-like fruit and roasted nut that soften to dark chocolate toward the finish. Soft acidity, lightly syrupy mouthfeel. The finish is particularly impressive, saturated with a deep, resonant chocolate sweetness.",Notes: Directly sourced from the La Union farm of the Fiallos family. Reunion Island Coffee is a quality-oriented roasting company founded by Canadian specialty coffee veteran Peter Pesce. Visit www.reunionislandcoffee.com or call 800-565-5950 for more information.,"Who Should Drink It: A classic Nicaragua coffee, with the sweetness and depth we associate with the type."
Stars of Italy Espresso,Cherry Smile Specialty Coffee,"Taipei, Taiwan",Not disclosed.,Medium,46/60,NT$600/8 oz.,October 2010,96,Review Date:,October 2010,Aroma:,9,Body:,9							,"Blind Assessment: Evaluated as espresso. Opulent, complex and big-bodied. Night flowers and a pronounced brandy-like fruit dominate aroma and the small cup, with a crisp, drying hint of cedar. Plump, syrupy mouthfeel. Long, flavor-saturated finish. Two parts milk turns the brandied fruit toward a minty dark chocolate with a continuing floral complication.   ","Notes: Cherry Smile is a brand of coffee established by Wei-Ming Zhuo, a leader in the Taiwan coffee community who is dedicated improving coffee knowledge and culture in Taiwan. Visit http://www.cherry-smile.com or call 886 938 362 368 for more information.","Who Should Drink It: Impressive espresso, simultaneously luxurious and brandy-like yet impeccably clean and precise."
Costa Rica Helsar ed Zercero Organic,Klatch Coffee,"San Dimas, California","Alajuela growing region, Costa Rica.",Medium,50/69,$14.95/12 oz.,October 2010,92,Review Date:,October 2010,Aroma:,8,Acidity:,9,"Blind Assessment: Flowers, white wine and tangerine-like citrus soften toward a cocoaish dark chocolate in aroma and cup. Delicately bright, wine-like acidity, silky mouthfeel. Gently tart, chocolate-toned finish.","Notes: Produced from trees of the Caturra and Catuai varieties on award-winning Finca Santa Lucia by farmer Ricardo Perez Barrantes. Most likely a touch of fruit pulp was allowed to dry on the beans, accounting for a delicately clean fruit and wine-like cup character. Formerly Coffee Klatch, Klatch Coffee is an award-winning small-batch roasting company based in the Los Angeles area whose resident barista and trainer, Heather Perry, is a former United States Barista Champion. Visit www.klatchroasting.com or call 877-455-2824 for more information.","Who Should Drink It: Lovers of balanced, delicately complex white table wines."
Classic Espresso,True Beans Coffee Roasters,"Long Beach, California",Not disclosed.,Medium-Dark,43/54,$10.99/12 oz.,October 2010,91,Review Date:,October 2010,Aroma:,8,Body:,8							,"Blind Assessment: Evaluated as espresso. A steady and even-tempered espresso, sweet-toned and balanced. Toast, dark chocolate, cedar and a pineapply fruit in aroma and small cup. Lightly syrupy mouthfeel. A cedary chocolate lingers in the long, deep finish and carries with some elegance into two parts milk.  ","Notes: Certified organically grown and Fair-Trade certified, meaning the coffees making up this blend were produced following organic agricultural procedures and purchased from small-holding farmers at a ""fair"" or economically sustainable price. True Beans is an artisan small-batch roaster located in the southern California city of Long Beach that emphasizes social responsibility and sells only organic and sustainable coffees. Visit www.truebeans.com or call 562-216-1620 for more information.","Who Should Drink It: No grand sensory gestures but no wrong moves either in this balanced, quietly complex blend."
Nicaragua Rio Coco,True Beans Coffee Roasters,"Long Beach, California","Madriz, Nicaragua",Medium,49/64,$10.99/12 oz.,October 2010,90,Review Date:,October 2010,Aroma:,8,Acidity:,8,"Blind Assessment: Distinct malty earth and cedary dark chocolate character, enlivened by a hint of lemony citrus in both aroma and cup. Rich acidity; lightly syrupy mouthfeel. Flavors carry nicely into the finish, with the lemon hint in particular intensifying.","Notes: Certified organically grown and Fair-Trade certified, meaning this coffee was produced following organic agricultural procedures and purchased from small-holding farmers at a ""fair"" or economically sustainable price. True Beans is an artisan small-batch roaster located in the southern California city of Long Beach that emphasizes social responsibility and sells only organic and sustainable coffees. Visit www.truebeans.com or call 562-216-1620 for more information.","Who Should Drink It: Those enjoying a version, more lemony and bright, of the earth-toned coffees of Sumatra. "
True Espresso,True Beans Coffee Roasters,"Long Beach, California",Not disclosed.,Medium,48/58,$11.49/12 oz.,October 2010,90,Review Date:,October 2010,Aroma:,9,Body:,7							,"Blind Assessment: Evaluated as espresso. Bright and complex in both aroma and small cup: cedary lemon, distinct floral tones and a cocoaish chocolate. Smooth though rather lean mouthfeel. Sweetens but maintains character in two parts milk: lemon curd and chocolate, with a particularly long and flavor-saturated finish.","Notes: This coffee is certified organically grown and Rainforest Alliance certified, meaning it was produced following sustainable ecological and socio-economic criteria developed by the Sustainable Agricultural Network, a coalition of independent, environment-focused non-governmental organizations. True Beans is an artisan small-batch roaster located in the southern California city of Long Beach that emphasizes social responsibility and sells only organic and sustainable coffees.  Visit www.truebeans.com or call 562-216-1620 for more information.","Who Should Drink It: Those tuned to brightly lemony, aromatically complex but lean-bodied espressos."
Single-Origin Signature Roast,Doi Chaang Coffee,"Vancouver, British Colombia",Northern Thailand.,Very Dark,26/29,CAD $15.99/16 oz.,October 2010,87,Review Date:,October 2010,Aroma:,8,Body:,8							,"Blind Assessment: Deep and richly roasty in the aroma: gently charred wood, raisiny dark chocolate, a hint of cardamom-like spice. In the cup medium-bodied but smoothly silky in mouthfeel. The charred, roasty character tends to overshadow the chocolate-toned aromatics in cup and finish.","Notes: Certified organically grown and Fair-Trade certified, meaning this coffee was produced following organic agricultural procedures and purchased from small-holding farmers at a ""fair"" or economically sustainable price. Doi Chaang is a single-origin coffee produced by a northern Thailand hill tribe in the Golden Triangle mountains of Thailand and roasted in Canada. The independent coffee growers receive over 50% of the profits of this unusual and pioneering venture. Visit www.doichaangcoffee.com or call 866-924-2264 for more information.","Who Should Drink It: Those who value dry, roasty intensity and an impressive story at origin."
True Blend,True Beans Coffee Roasters,"Long Beach, California",Not disclosed.,Medium,46/58,$10.99/12 oz.,October 2010,89,Review Date:,October 2010,Aroma:,8,Acidity:,7,"Blind Assessment: Balanced, straightforward blend. Fresh-cut fir, raisiny dark chocolate, roasted nut, a hint of flowers in the aroma. In the cup the fir in particular dominates, while the fruit brightens toward cherry. Roast-hushed acidity; syrupy mouthfeel; sweet, rich though simple finish.","Notes: Certified organically grown and Fair-Trade certified, meaning the coffees making up this blend were produced following organic agricultural procedures and purchased from small-holding farmers at a ""fair"" or economically sustainable price. True Beans is an artisan small-batch roaster located in the southern California city of Long Beach that emphasizes social responsibility and sells only organic and sustainable coffees. Visit www.truebeans.com or call 562-216-1620 for more information.",Who Should Drink It: Versatile blend with pleasing though understated aromatics.
Single-Origin Dark Roast,Doi Chaang Coffee,"Vancouver, British Colombia",Northern Thailand.,Very Dark,21/21,CAD $15.99/16 oz.,October 2010,87,Review Date:,October 2010,Aroma:,8,Body:,8							,"Blind Assessment: A tactful ultra-dark roast dominates a cleanly sweet green coffee: Gently charred aromatic wood with a backgrounded dark-chocolate sweetness and a hint of flowers at the top. Medium body, smooth mouthfeel; slightly astringent finish.","Notes: Certified organically grown and Fair-Trade certified, meaning this coffee was produced following organic agricultural procedures and purchased from small-holding farmers at a ""fair"" or economically sustainable price. Doi Chaang is a single-estate coffee produced by a northern Thailand hill tribe in the Golden Triangle mountains of Thailand and roasted in Canada. The independent coffee growers receive over 50% of the profits of this unusual and pioneering venture. Visit www.doichaangcoffee.com or call 866-924-2264 for more information.",Who Should Drink It: Those who enjoy the charred pungency of ultra-dark-roasted “French roasts” but who still crave some plumpness in the body and some chocolaty sweetness in the aromatics.
Espresso,Cafe Excellence,"Audobon, Pennsylvania",Not disclosed.,Medium-Dark,40/52,$10.65/12 oz.,October 2010,92,Review Date:,October 2010,Aroma:,8,Body:,8							,"Blind Assessment: Evaluated as espresso. Deep and sweet-toned in the small cup: cedar, milk chocolate, orangy fruit. Medium-bodied but buttery and supple in mouthfeel. Very sweet finish with a pleasantly drying, walnut-like hint in the long. Seductive in milk, which pushes the chocolate forward and lightens and brightens the fruit.",Notes: Family-owned Café Excellence is a coffee roaster based in Pennsylvania with roots in the coffee business dating back to 1958. Its mission is sharing “the wonderful experience of uniquely Micro Roasted specialty coffee with consumers.” Visit www.cafeexcellence.com or call 877-367-1287 for more information.,Who Should Drink It: Complexity and balance in a fine medium-bodied espresso. 
North Bird Espresso Fall 2010,Bird Rock Coffee Roasters,"La Jolla, California","Limu growing region, Ethiopia: Guatemala; northern Sumatra, Indonesia.",Medium,52/58,$12.75/12 oz.,October 2010,91,Review Date:,October 2010,Aroma:,9,Body:,8							,"Blind Assessment: Evaluated as espresso. Pungent and sweet in the small cup: brandy-toned dark chocolate, fresh-cut fir, cherryish fruit, a hint of flowers at the top. Lean though smooth mouthfeel; rich, fruit-toned finish. Two parts milk soften and diffuse the fir and brandyish chocolate notes without obscuring them.","Notes: This fall version of Bird Rock’s North Bird Espresso blend combines directly traded small-lot coffees from Ethiopia and Guatemala with Fair Trade and organic-certified Sumatra. Based in the San Diego area, Bird Rock Coffee Roasters is a retailer and wholesaler that focuses on organic and socially responsible coffees. Visit www.birdrockcoffee.com or call 858-551-1707 for more information.",Who Should Drink It: Unusual and complex flavor in a smooth though rather lean-bodied espresso.
Black Mamba Ethiopian Harrar,Safari Cup,"Chicago, Illinois","Harrar region, northeastern Ethiopia.",Dark,35/43,$13.75/16 oz.,October 2010,92,Review Date:,October 2010,Aroma:,8,Acidity:,7,"Blind Assessment: Great character in this darker roasted, dried-in-the-cherry profile. Pungent, complex aroma: cedar, roasted nut, toast, lemon, herby dark chocolate. Roast-muted acidity, silky mouthfeel. The fragrant cedary wood notes, flowers and ripe lemon in particular dominate flavor, but chocolate surfaces again in the sweet if lightly astringent finish.","Notes: The semi-arid region bordering the ancient walled city of Harrar has for centuries produced traditional dried-in-the fruit or “natural” coffees like this one. Safari Cup is a coffee roaster that recently relocated to Chicago from Birmingham, Alabama. Safari Cup exclusively sources its coffee from Africa.  Visit www.safaricup.com or call 773-770-6162 for more information.","Who Should Drink It: Offers the robust, complex pungency that lovers of darker-roasted coffees enjoy, though here the robust impression is more owing to the exotic character of the green coffee than to the roast."
Kenya AA Gathiga,Paradise Roasters,"Ramsey, Minnesota",Central Kenya,Medium,50/68,$19.95/12 oz.,October 2010,92,Review Date:,October 2010,Aroma:,8,Acidity:,9,"Blind Assessment: Intensely bright with rich, dominating acidity. Pungent nut, dark chocolate, ripe tomato and flowers in the aroma, with the tomato note turning lemony in the cup and a hint of the admired black currant note emerging. Syrupy mouthfeel. The acidity brings a mild astringent edge to the finish, but one pleasingly enveloped in richness.","Notes: Despite grower discontent and sporadic social disorder, Kenya continues to produce some of the world's most elegant and distinctive coffees. Paradise Roasters prides itself on roasting and shipping coffee only after orders are placed. Its metaphoric mission is to bring some paradisiacal warmth from the coffee-growing south to the cool environs of Minnesota. Visit www.paradiseroasters.com or call 763-433-0626 for more information.","Who Should Drink It: Connoisseurs of grandly bright, high-grown coffees generally and grandly bright Kenyas in particular."
Concerto Psychedelico Trio,Simon Hsieh's Aroma Roast Coffees,"Taoyuan City, Taiwan",Ethiopia; Panama,Medium,45/58,NT$900/16 oz.,October 2010,91,Review Date:,October 2010,Aroma:,9,Acidity:,8,"Blind Assessment: Rich aroma with layered nuances of sweet cherry, stone fruit, nut and chocolate. In the cup, gentle but sustained acidity, lightly syrupy mouthfeel and softer fruit flavors, tending toward tarter cherry and sweet citrus. Chocolate remerges in the finish along with a note of aromatic wood.  ","Notes: Part of a trilogy of blends, “Trio” combines three coffees and is intended to mimic the flavor profile of high-quality Taiwanese tea. In addition to his retail roasting operation, Aroma Roast Coffees, Simon Hsieh also runs Soaring Phoenix Trading, a business focused on purposed-built commercial espresso blends and high quality single-origin coffees. Visit www.facebook.com/4ArtsZeroDefectCoffees or call 886-0983-749876 for more information.","Who Should Drink It: Complex, shifting fruit intrigue in a quietly exotic cup."
Kenya,Diedrich Coffee,"Irvine, California",South-central Kenya.,Medium-Dark,40/55,$11.95/12 oz.,October 2010,90,Review Date:,October 2010,Aroma:,8,Acidity:,8,"Blind Assessment: Soft hints of sweet orange, stone fruit and flowers in the aroma. Deceptively simple lemony quality in the cup becomes sweeter and more nuanced as the cup cools, showing notes of black currant and more flowers. Rich in the short finish; a milk chocolate note resonates in the long. ","Notes: Despite grower discontent and sporadic social disorder, Kenya continues to produce some of the world's most elegant and distinctive coffees. This coffee is AA grade, the highest regularly traded grade of Kenya coffee based on bean size and least number of physical imperfections. Headquartered in Orange County, California, Diedrich Coffee is a specialty coffee company offering a wide range of whole bean and single serve coffees at retail locations and online.  Visit www.diedrichcoffee.com or call 800-354-5282 for more information.","Who Should Drink It: A medium-dark-roasted, quietly complete version of the Kenya profile."
Kobra Blend,Jim's Burger Cafe,"Taipei City, Taiwan","Ka'u, Hawaii; Costa Rica; Kenya.",Medium-Dark,38/45,NT$600/8 oz.,October 2010,89,Review Date:,October 2010,Aroma:,8,Body:,7							,"Blind Assessment: Evaluated as espresso. Rich, orangy dark chocolate, nut, and hints of flowers and aromatic wood in aroma and flavor. Lightly syrupy mouthfeel. A nagging astringency betrays the cup in the finish, where it eventually overpowers a chocolaty sweetness. Round, balanced presence in two parts milk: Rich chocolate with a continuing hint of orange.","Notes: This blend incorporates a specially processed natural or dried-in-the-fruit coffee from Ka’u, a newly emerging Hawaii coffee growing district centered thirty miles or so south of Kona. Located in Taipei City, Taiwan, Jim's Burger Café is a burger shop that specializes in breakfast fare, including its Sweet Heart espresso blend. The company motto: ""Relax awhile, Enjoy our style, Jim's Burger!"" Call +886-2-293-5200 for more information.",Who Should Drink It: Should please caffè latte drinkers and those who focus on flavor first and mouthfeel second in straight espresso. 
